"ID" "ActivityLabel" "tBodyAcc-mean()-X" "tBodyAcc-correlation()-X,Z" "tBodyAcc-correlation()-Y,Z" "tGravityAcc-mean()-X" "tGravityAcc-correlation()-X,Z" "tGravityAcc-correlation()-Y,Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-correlation()-X,Z" "tBodyAccJerk-correlation()-Y,Z" "tBodyGyro-mean()-X" "tBodyGyro-correlation()-X,Z" "tBodyGyro-correlation()-Y,Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-correlation()-X,Z" "tBodyAccMag-arCoeff()3" "tGravityAccMag-arCoeff()3" "tBodyAccJerkMag-arCoeff()3" "tBodyGyroMag-arCoeff()3" "tBodyGyroJerkMag-arCoeff()3" "tBodyGyroJerkMag-arCoeff()4" "fBodyAcc-mean()-X" "fBodyAcc-maxInds-Y" "fBodyAcc-maxInds-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-bandsEnergy()-1,24" "fBodyAcc-bandsEnergy()-25,48" "fBodyAccJerk-mean()-X" "fBodyAccJerk-maxInds-Y" "fBodyAccJerk-maxInds-Z" "fBodyAccJerk-meanFreq()-X" "fBodyAccJerk-bandsEnergy()-1,24" "fBodyAccJerk-bandsEnergy()-25,48" "fBodyGyro-mean()-X" "fBodyGyro-maxInds-Y" "fBodyGyro-maxInds-Z" "fBodyGyro-meanFreq()-X" "fBodyGyro-bandsEnergy()-1,24" "fBodyAccMag-entropy()" "fBodyAccMag-skewness()" "fBodyBodyAccJerkMag-entropy()" "fBodyBodyAccJerkMag-skewness()" "fBodyBodyGyroMag-entropy()" "fBodyBodyGyroMag-skewness()" "fBodyBodyGyroJerkMag-entropy()" "angle(Y,gravityMean)" "angle(Z,gravityMean)"
1 1 0.277330758736842 -0.191228477152632 0.380201211578947 0.935223201473684 -0.0400833257557895 0.281260329237895 0.0740416333157895 -0.362106180705263 0.490554924315789 -0.041830963526 -0.0630329306810526 0.107702366137895 -0.0899975423705263 -0.334593851089474 0.0885682061405263 0.0885682061405263 -0.224934141304316 0.165740730368421 -0.116305623129053 -0.187471542774737 -0.202794306326316 -0.637894735410526 -0.91983805368421 -0.207548374494737 -0.724782321052632 -0.917626535263158 -0.170546964549579 -0.458526315789474 -0.247157894736842 -0.209261973376842 -0.814140595578947 -0.922591224526316 -0.339032197115789 -0.77928692768421 -0.634119783568421 0.0147844986621053 -0.78983286 0.544165924947368 -0.549076696421053 0.478205569578947 -0.104419399496947 0.682766821578947 -0.246856514532632 0.573827934105263 0.276953023473684 0.0688589119894737
1 2 0.255461689622641 -0.17700807654717 0.161628109571698 0.89335109754717 -0.37282872745283 -0.178003749358491 0.101372729922642 -0.169377561701887 0.312909699716981 0.050549379754717 -0.364162675924528 0.00374637040566038 -0.122232768011321 -0.301908590471698 -0.137359747679245 -0.137359747679245 -0.316997064283019 -0.0491976799056604 -0.140911848889623 -0.163564322 -0.404321784150943 -0.801257861698113 -0.92307692 -0.418735000377359 -0.502506878113208 -0.979627190566038 -0.479875245660377 -0.696603773584906 -0.76 -0.377023128301887 -0.922755616226415 -0.980786464528302 -0.492611667924528 -0.93548387 -0.825634351886792 -0.187450247737736 -0.874785848301887 0.408554099622641 -0.285599666826415 0.193028584981132 -0.363579661132075 0.542670381509434 -0.160914224732075 0.319892978867925 0.334763277358491 0.0741663682075472
1 3 0.289188320408163 -0.225544974216327 0.0756845059489796 0.931874418979592 -0.297445343530612 0.10130462455102 0.0541553164897959 -0.357838717367347 0.116034018020408 -0.0350781902989796 -0.191032660469388 -0.280042328004082 -0.0739592036271429 -0.24153299954898 0.13907453125102 0.13907453125102 -0.0168914737530612 0.423461960877551 -0.0579983788428571 0.0572668301693878 0.0382291831510204 -0.681632651979592 -0.924646779387755 -0.307395198687755 -0.718418354489796 -0.810377550816327 -0.0276638676122449 -0.402448979591837 -0.16734693877551 -0.253164344918367 -0.727280115306122 -0.821647169183673 -0.352449631363265 -0.856484528979592 -0.752287122244898 -0.100453729040816 -0.621849786122449 0.652818079591837 -0.45682867022449 0.52455081244898 -0.196565005959184 0.680233602653061 -0.493999491571429 0.586977217142857 0.267245784693878 0.0650047072244898
1 4 0.261237565425532 -0.201194422908511 0.118261863640426 0.831509933404255 -0.497453950340426 0.301419345319149 0.0774825199574468 0.159929065085106 0.0165644228659574 -0.045350056512766 0.152511136276596 -0.233370428585106 -0.0936793807234043 0.11770854623617 0.153241019 0.153241019 -0.030831794193617 0.166649813768085 -0.00118220895957447 -0.00177420970212766 -0.979641238723404 -0.971631205744681 -0.898527004255319 -0.0495135975489362 -0.987879390851064 -0.999175948085106 -0.986597022553191 -0.243404255319149 -0.221276595744681 0.256610823568085 -0.999344061914894 -0.999747370212766 -0.976161464042553 -0.914893616595745 -0.991195891276596 0.189153021260851 -0.992958364042553 -0.836380754702128 -0.373911049468085 -0.959589706170213 -0.480942150808511 -0.708725102765957 -0.00775797617659574 -0.936606090212766 -0.0604660253808511 -0.218017225106383
1 5 0.278917629056604 -0.00543277440754717 0.288310475754717 0.942952000377358 0.13784962990566 0.46985826 0.0753766542264151 0.156032601584906 0.0744326620490566 -0.0239877347979245 -0.00512713848867925 -0.459897160490566 -0.0996092129056604 -0.0374820999679245 0.240349537995094 0.240349537995094 -0.0549539895716981 0.163825722239623 0.00219194961320755 -0.285777842592453 -0.995249932641509 -0.909433962075472 -0.882438316226415 0.0865153619088679 -0.999093109056604 -0.99981734245283 -0.994630797358491 -0.32 -0.120754716981132 0.314182940150943 -0.999832889056604 -0.99984008 -0.986386786037736 -0.885575167169811 -0.880286271849057 -0.120293020603774 -0.999455610566038 -0.915000873207547 -0.47394336890566 -0.996658396226415 -0.568218011226415 -0.768195483962264 -0.201169444064151 -0.956721137924528 0.270175032830189 0.0122528503773585
1 6 0.22159824394 -0.0093252039692 -0.023365945138 -0.24888179828 -0.07809749428 -0.20911768088 0.0810865342 0.146174602854 -0.022012200614 -0.016553093978 0.252542752996 0.04403706094 -0.107270949192 -0.038780932678 0.03519635202 0.03519635202 -0.111611025988 -0.009417440526 -0.039707980292 -0.111077069856 -0.9390990524 -0.8173333332 -0.85384615334 -0.158792670508 -0.9415331212 -0.9964246012 -0.9570738838 -0.2592 -0.3112 0.132419092398 -0.9922768486 -0.99717988 -0.850249174586 -0.90193548364 -0.969655172 -0.003546795856 -0.9864204228 -0.64360690412 -0.2662462532 -0.8270531004 -0.389207745822 -0.51574179922 -0.0843388238 -0.7209708054 -0.52034381798 -0.35241310896
2 1 0.276426586440678 -0.0251069135101695 0.368582476440678 0.91301733338983 -0.241298144779661 -0.0658090309491525 0.0618080696279661 0.0624083924322034 0.224548708762712 -0.0530258157347458 0.105900774240678 -0.0801253883711864 -0.0818833429152542 0.0648991809491525 -0.112274999164407 -0.112274999164407 -0.485743906118644 0.0428938015644068 -0.247231198601695 0.23773453523678 -0.346048161016949 -0.757062144745763 -0.747066491525424 -0.14579548970339 -0.831927511355932 -0.950590559152542 -0.304615322881356 -0.226440677966102 -0.221016949152542 -0.0727101584479661 -0.861085185423729 -0.953383621355932 -0.429713536101695 -0.739748498474576 -0.625949738813559 0.00727967988474576 -0.873070090508475 0.408264795762712 -0.497408531355932 0.396208539661017 -0.00254912604067796 0.504065863220339 -0.571976081694915 0.363422317118644 0.321443011864407 -0.0368892833067797
2 2 0.247164790395833 -0.411630790895833 0.18153981034375 0.790717418541667 0.203143954291667 -0.169191851458333 0.0744507839572917 -0.138556992870208 0.307773663458333 -0.0576912634583333 0.1841551464375 0.440031015833333 -0.0828858001333333 0.1574097324375 0.0751369210020833 0.0751369210020833 -0.2050595805 0.319991629791667 0.1407928295875 -0.00629092502708333 -0.266720933270833 -0.844444442708333 -0.855769229166667 -0.281748011416667 -0.580208938333333 -0.94891047875 -0.258639439729167 -0.475 -0.58 -0.0491142923541667 -0.845151461875 -0.951688811041667 -0.331643577458333 -0.924731181875 -0.93103448 -0.115324433733333 -0.628462754229167 0.531027960833333 -0.46785115375 0.407292974166667 -0.223830448503333 0.508580094583333 -0.292661082145833 0.338768313125 0.373749042708333 0.165147457953125
2 3 0.27761534806383 -0.247933472419149 0.162723854808511 0.861831345531915 0.0255011033191489 0.0451822640425532 0.110040615569574 -0.0715963052904255 0.132899850775532 -0.11594735287234 0.230421193882979 -0.107181265489362 -0.0581038498510638 0.212135428978723 0.0790410821085106 0.0790410821085106 0.00565053229978724 0.187380402638298 0.137943311302128 0.0799973712212766 0.112841160325532 -0.706382977446809 -0.854337150638298 -0.273711609659574 -0.581770836382979 -0.869565525744681 0.138120681087234 -0.44936170212766 -0.4 -0.143898149531915 -0.666880558297872 -0.869575452340426 -0.145775970406383 -0.718599862340425 -0.735876742531915 -0.0375298023191489 -0.759261478297872 0.736142404893617 -0.447801660425532 0.627463399574468 0.0750976283351064 0.590355810851064 -0.290077728731915 0.50295255 0.311800312978723 0.0537293985574468
2 4 0.27708735173913 -0.268153719565217 0.256453039862826 0.940477273043478 -0.486664063652174 0.538687011956522 0.0722564387173913 0.0380489234586957 0.0525305806521739 -0.0454706620434783 0.182080612630435 -0.505954266021739 -0.0936328412826087 0.192636236913043 0.165177400471739 0.165177400471739 -0.0316423665565217 0.0884338520847826 -0.0574888258152174 -0.184917620573913 -0.985803840652174 -0.882608695434783 -0.936454849565217 0.08519282071 -0.995906652608696 -0.999430545217391 -0.987848793695652 -0.297391304347826 -0.164347826086957 0.305546818084783 -0.999687611304348 -0.999700042608696 -0.982621389565217 -0.949509115869565 -0.919040479782609 0.130523120891304 -0.998201445217391 -0.819453163695652 -0.332265960427174 -0.961771542391304 -0.568363489347826 -0.652096107826087 -0.1330686249 -0.90145344673913 0.155857278304348 -0.118224398621739
